,Age,PassengerId,Survived,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Name_Len,Dead_female_family,Survive_male_family,IsChild,High_Survival_Ticket,Low_Survival_Ticket,Embarked_C,Embarked_Q,Embarked_S,FamilySize_Alone,FamilySize_Big,FamilySize_Small,Cabin_isNull,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Low_Fare,High_Fare
0,32,1,0.0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0
1,57,2,1.0,0,0,0,1,4,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1
2,39,3,1.0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0
3,53,4,1.0,0,0,0,1,4,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1
4,53,5,0.0,0,0,1,0,2,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0
5,39,6,0.0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0
6,76,7,0.0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1
7,8,8,0.0,1,0,0,0,3,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0
8,41,9,1.0,0,0,0,1,4,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0
9,21,10,1.0,0,0,0,1,4,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1
10,10,11,1.0,0,1,0,0,3,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0
11,81,12,1.0,0,1,0,0,2,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1
12,29,13,0.0,0,0,1,0,3,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0
13,59,14,0.0,0,0,1,0,2,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1
14,21,15,0.0,0,1,0,0,4,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0
15,77,16,1.0,0,0,0,1,3,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
16,8,17,0.0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1
17,45,18,1.0,0,0,1,0,3,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
18,47,19,0.0,0,0,0,1,4,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0
19,47,20,1.0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0
20,53,21,0.0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1
21,51,22,1.0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0
22,23,23,1.0,0,1,0,0,2,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0
23,42,24,1.0,0,0,1,0,3,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1
24,14,25,0.0,0,1,0,0,3,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0
25,57,26,1.0,0,0,0,1,4,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1
26,39,27,0.0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0
27,28,28,0.0,0,0,1,0,3,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1
28,26,29,1.0,0,1,0,0,3,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0
29,39,30,0.0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0
